Ár;Leikmaður;Lið;Sofascore-einkunn;Mörk;Stoðsendingar;Mörk + stoðsendingar;Mörk úr vítum;Mínútur á mark;Skot í leik;Skot á mark í leik;Heppnaðar sendingar í leik;Lykilsendingar í leik;Heppnaðar langsendingar í leik;Heppnuð knattrök í leik;Hreinsanir í leik;Gul spjöld;Rauð spjöld;Varin skot í leik;Fengin mörk í leik (flest);Fengin mörk í leik (fæst);Hrein lök;Víti tekin;Heppnaðar sendingar (%);Heppnuð knattrök (%);Sofascore ID;Leikmannssíða
2023;Ólafur Guðmundsson;FH Hafnarfjörður;;;;;;;;;37.5;;5.1;;3.3;;;;;;;;81;;983506;https://www.sofascore.com/football/player/olafur-gudmundsson/983506
2023;Ólafur Íshólm Ólafsson;Fram Reykjavík;;;;;;;;;;;;;;;;2.7;2;2;2;;;;234604;https://www.sofascore.com/football/player/olafur-isholm-olafsson/234604
2023;Ólafur Karl Finsen;Fylkir Reykjavík;;5;;;2;328;2.2;0.8;;;;;;;;;;;;2;;;94983;https://www.sofascore.com/football/player/olafur-karl-finsen/94983
2023;Ólafur Kristófer Helgason;Fylkir Reykjavík;;;;;;;;;;;;;;;;2.9;2;2;2;;;;983496;https://www.sofascore.com/football/player/olafur-kristofer-helgason/983496
2023;Óskar Borgthórsson;Fylkir Reykjavík;7.67;5;3;8;;295;2.9;1.2;;1.5;;4.2;;;;;;;;;;59;1082814;https://www.sofascore.com/football/player/borgthorsson-oskar/1082814
2023;Pablo Punyed;Víkingur Reykjavík;7.6;;9;12;;;;;39.6;1.6;;;;6;;;;;;;87;;234702;https://www.sofascore.com/football/player/pablo-punyed/234702
2023;Patrick Pedersen;Valur Reykjavík;;12;6;18;0;118;1.7;1.1;;;;;;;;;;;;1;;;198264;https://www.sofascore.com/football/player/patrick-pedersen/198264
2023;Petur Bjarnason;Fylkir Reykjavík;;6;;8;;256;;0.5;;;;;;;;;;;;;;;1029107;https://www.sofascore.com/football/player/petur-bjarnason/1029107
2023;Ragnar Bragi Sveinsson;Fylkir Reykjavík;;;;;;;;;33.4;;;;;8;;;;;;;84;;892860;https://www.sofascore.com/football/player/ragnar-bragi-sveinsson/892860
2023;Richard King;ÍBV Vestmannaeyjar;;;;;;;;;31.4;;4.7;;2.4;5;1;;;;;;79;;1138413;https://www.sofascore.com/football/player/king-richard/1138413
2023;Rodri;KA Akureyri;;;;;;;;;39.2;;;;2;;;;;;;;88;;862588;https://www.sofascore.com/football/player/rodri/862588
2023;Róbert Frosti Thorkelsson;Stjarnan Garðabær;;;3;;;;;;;;;;;;;;;;;;;;1153236;https://www.sofascore.com/football/player/robert-frosti-thorkelsson/1153236
2023;Sami Kamel;Keflavík IF;7.46;6;4;10;;266;2.1;1.1;;1.7;;1.9;;;;;;;;;;65;794293;https://www.sofascore.com/football/player/sami-kamel/794293
2023;Sigurdur Hallsson;KR Reykjavík;;5;4;9;;184;1.2;;;;;;;;;;;;;;;;996859;https://www.sofascore.com/football/player/sigurdur-hallsson/996859
2023;Sigurður Arnar Magnússon;ÍBV Vestmannaeyjar;;;;;;;;;;;4.2;;2.8;;;;;;;;;;858284;https://www.sofascore.com/football/player/sigurdur-arnar-magnusson/858284
2023;Sigurður Egill Lárusson;Valur Reykjavík;7.25;;5;7;;;;;36.6;1.2;2.5;;2.3;;;;;;;;77;;66561;https://www.sofascore.com/football/player/sigurur-egill-larusson/66561
2023;Simen Lillevik Kjellevold;KR Reykjavík;7.15;;;;;;;;;;;;;;;3.1;1.6;1.6;2;;;;843082;https://www.sofascore.com/football/player/simen-lillevik-kjellevold/843082
2023;Sindri Kristinn Ólafsson;FH Hafnarfjörður;;;;;;;;;;;;;;;;2.8;2;2;3;;;;336385;https://www.sofascore.com/football/player/sindri-kristinn-olafsson/336385
2023;Sindri Snær Magnússon;Keflavík IF;7.14;;;;;;;;35.4;1;2.4;;;6;1;;;;;;80;;797025;https://www.sofascore.com/football/player/sindri-snaer-magnusson/797025
2023;Sindri Þór Guðmundsson;Keflavík IF;;;;;;;;;;;;1.3;;5;1;;;;;;;40;884045;https://www.sofascore.com/football/player/sindri-thor-gudmundsson/884045
2023;Sindri Þór Ingimarsson;Stjarnan Garðabær;;;;;;;;;56.9;;3.5;;;;;;;;;;89;;879182;https://www.sofascore.com/football/player/sindri-thor-ingimarsson/879182
2023;Stefan Alexander Ljubicic;Keflavík IF;;;;;1;;1.3;0.6;;;;;;;;;;;;1;;;861219;https://www.sofascore.com/football/player/stefan-alexander-ljubicic/861219
2023;Stefán Ingi Sigurðarson;Breidablik Kópavogur;;10;;10;;;;;;;;;;;;;;;;;;;907517;https://www.sofascore.com/football/player/stefan-ingi-sigurdarson/907517
2023;Steinþór Már Auðunsson;KA Akureyri;;;;;;;;;;;;;;;;;;;2;;;;879547;https://www.sofascore.com/football/player/steinthor-mar-audunsson/879547
2023;Sveinn Gísli Þorkelsson;Fylkir Reykjavík;;;;;;;;;30.7;;3.9;;2.9;;1;;;;;;86;;1196096;https://www.sofascore.com/football/player/sveinn-gisli-thorkelsson/1196096
2023;Sveinn Margeir Hauksson;KA Akureyri;;5;;6;;331;1.5;0.5;;0.9;;1.6;;;1;;;;;;;49;1031648;https://www.sofascore.com/football/player/sveinn-margeir-hauksson/1031648
2023;Sveinn Sigurður Jóhannesson;Valur Reykjavík;;;;;;;;;;;;;;;;;;;1;;;;335463;https://www.sofascore.com/football/player/sveinn-sigurur-johannesson/335463
2023;Sverrir Páll Hjaltested;ÍBV Vestmannaeyjar;;6;;7;0;232;1.5;0.6;;;;;;;;;;;;1;;;1025994;https://www.sofascore.com/football/player/sverrir-pall-hjaltested/1025994
2023;Tiago Fernandes;Fram Reykjavík;7.19;;3;;;;;;35.6;1.4;2.4;;;;;;;;;;82;;933198;https://www.sofascore.com/football/player/tiago-fernandes/933198
2023;Tomas Magnusson;ÍBV Vestmannaeyjar;7.29;;;;;;1.7;0.5;;;;;;8;;;;;;;;;2029540;https://www.sofascore.com/football/player/tomas-magnusson/2029540
2023;Tryggvi Hrafn Haraldsson;Valur Reykjavík;7.51;11;10;21;;177;1.8;0.7;;1.1;;1.5;;;;;;;;;;49;841400;https://www.sofascore.com/football/player/tryggvi-hrafn-haraldsson/841400
2023;Úlfur Ágúst Björnsson;FH Hafnarfjörður;;7;;7;1;195;1.8;1;;0.9;;;;;;;;;;2;;;1210914;https://www.sofascore.com/football/player/ulfur-agust-bjornsson/1210914
2023;Viktor Andri Hafþórsson;Keflavík IF;;;;;;245;;;;;;;;;;;;;;;;;932374;https://www.sofascore.com/football/player/viktor-andri-hafthorsson/932374
2023;Viktor Karl Einarsson;Breidablik Kópavogur;7.28;;5;7;;;1.2;;36.1;1.4;;1.7;;7;;;;;;;82;48;822170;https://www.sofascore.com/football/player/viktor-karl-einarsson/822170
2023;Viktor Orn Margeirsson;Breidablik Kópavogur;;;;;;;;;47.6;;3.3;;2.5;;;;;;;;87;;796721;https://www.sofascore.com/football/player/viktor-orn-margeirsson/796721
2023;Vuk Oskar Dimitrijevic;FH Hafnarfjörður;7.28;;5;8;;;1.5;0.5;;1.2;;3.1;;;;;;;;;;66;863596;https://www.sofascore.com/football/player/vuk-oskar-dimitrijevic/863596
2023;Þorri Mar Þórisson;KA Akureyri;;;;;;;;;;;;2.1;2.4;;;;;;;;;69;982762;https://www.sofascore.com/football/player/thorri-mar-thorisson/982762
2023;Þórður Gunnar Hafþórsson;Fylkir Reykjavík;;;;;;;;0.5;;;;2;;;;;;;;;;48;1005965;https://www.sofascore.com/football/player/thordur-gunnar-hafthorsson/1005965
2023;Ægir Jarl Jónasson;KR Reykjavík;7.14;5;;6;;;2.3;0.6;;0.8;;1.4;;;;;;;;;;52;840554;https://www.sofascore.com/football/player/aegir-jarl-jonasson/840554
2023;Örvar Eggertsson;HK Kópavogur;7.4;7;2;9;;321;2.1;1;;0.9;;2.2;;;;;;;;;;51;879494;https://www.sofascore.com/football/player/orvar-eggertsson/879494
2023;Örvar Logi Örvarsson;Stjarnan Garðabær;;;;;;;;;35.8;;;;;;;;;;;;82;;1210912;https://www.sofascore.com/football/player/orvar-logi-orvarsson/1210912
