Ár;Leikmaður;Lið;Sofascore-einkunn;Mörk;Stoðsendingar;Mörk + stoðsendingar;Mörk úr vítum;Mínútur á mark;Skot í leik;Skot á mark í leik;Heppnaðar sendingar í leik;Lykilsendingar í leik;Heppnaðar langsendingar í leik;Heppnuð knattrök í leik;Hreinsanir í leik;Gul spjöld;Rauð spjöld;Varin skot í leik;Fengin mörk í leik (flest);Fengin mörk í leik (fæst);Hrein lök;Víti tekin;Heppnaðar sendingar (%);Heppnuð knattrök (%);Sofascore ID;Leikmannssíða
2023;Benoný Breki Andrésson;KR Reykjavík;;9;;11;1;176;1.5;0.8;;;;;;;;;;;;1;;;1126752;https://www.sofascore.com/football/player/benony-breki-andresson/1126752
2023;Birkir Eyþórsson;Fylkir Reykjavík;;;;;;;;;;;;;;6;;;;;;;;;941550;https://www.sofascore.com/football/player/birkir-eythorsson/941550
2023;Birkir Heimisson;Valur Reykjavík;;;;;;;;;34.6;;4.5;;2;6;;;;;;;83;;862658;https://www.sofascore.com/football/player/birkir-heimisson/862658
2023;Birkir Már Sævarsson;Valur Reykjavík;7.18;;8;10;;;;;31.2;1.1;;;2.5;;;;;;;;81;;25685;https://www.sofascore.com/football/player/birkir-mar-saevarsson/25685
2023;Birkir Valur Jónsson;HK Kópavogur;;;;;;;;;;;;;2.3;;;;;;;;;;862426;https://www.sofascore.com/football/player/birkir-valur-jonsson/862426
2023;Birnir Snaer Ingason;Víkingur Reykjavík;8.1;12;6;18;;161;2.5;1;;1.6;;4.8;;;;;;;;;;58;876891;https://www.sofascore.com/football/player/birnir-snaer-ingason/876891
2023;Bjarni Aðalsteinsson;KA Akureyri;;;;;;337;;0.5;;;;;;;;;;;;;;;879495;https://www.sofascore.com/football/player/bjarni-adalsteinsson/879495
2023;Björn Berg Bryde;Stjarnan Garðabær;;;;;;;;;42.4;;2.7;;;;;;;;;;87;;862622;https://www.sofascore.com/football/player/bjorn-berg-bryde/862622
2023;Björn Daníel Sverrisson;FH Hafnarfjörður;7.35;4;;;;;1.9;0.5;;;;1.3;;5;;;;;;;;73;55187;https://www.sofascore.com/football/player/bjorn-daniel-sverrisson/55187
2023;Brynjar Gauti Guðjónsson;Fram Reykjavík;;;;;;;;;33.3;;5.5;;3.6;;;;;;;;81;;66599;https://www.sofascore.com/football/player/brynjar-gauti-gudjonsson/66599
2023;Daði Freyr Arnarsson;FH Hafnarfjörður;;;;;;;;;;;;;;;;;;;2;;;;858343;https://www.sofascore.com/football/player/dadi-freyr-arnarsson/858343
2023;Dagur Ingi Valsson;Keflavík IF;;;;;;;;;;0.9;;2.4;;5;;;;;;;;49;1028879;https://www.sofascore.com/football/player/dagur-ingi-valsson/1028879
2023;Damir Muminović;Breidablik Kópavogur;7.35;;;;;;;;48.2;;6.8;;4.3;7;;;;;;;83;;73624;https://www.sofascore.com/football/player/damir-muminovic/73624
2023;Dani Hatakka;FH Hafnarfjörður;;;;;;;;;32.3;;4.1;;2.8;5;;;;;;;84;;138464;https://www.sofascore.com/football/player/dani-hatakka/138464
2023;Daniel Hafsteinsson;KA Akureyri;;;;;1;;;;33.9;1;;;;5;1;;;;;1;82;;879176;https://www.sofascore.com/football/player/daniel-hafsteinsson/879176
2023;Danijel Dejan Djuric;Víkingur Reykjavík;7.45;10;4;14;;157;2;0.8;;1;;2.3;;;;;;;;;;54;983500;https://www.sofascore.com/football/player/danijel-dejan-djuric/983500
2023;Daníel Laxdal;Stjarnan Garðabær;;;;;;;;;42.2;;;;2.3;;;;;;;;89;;64271;https://www.sofascore.com/football/player/daniel-laxdal/64271
2023;Davíð Ingvarsson;Breidablik Kópavogur;;;;;;;;;;;;2.6;;;;;;;;;;68;879184;https://www.sofascore.com/football/player/david-ingvarsson/879184
2023;Davíð Snær Jóhannsson;FH Hafnarfjörður;7.54;7;6;13;;282;2.4;1;;1;;2.6;;8;;;;;;;;60;1005962;https://www.sofascore.com/football/player/david-snaer-johannsson/1005962
2023;Davíð Örn Atlason;Víkingur Reykjavík;;;;;;;;;;;;;2;;;;;;;;;;794815;https://www.sofascore.com/football/player/david-orn-atlason/794815
2023;Delphin Tshiembe;Fram Reykjavík;;;;;;;;;31;;3.7;;5;;1;;;;;;88;;279681;https://www.sofascore.com/football/player/delphin-tshiembe/279681
2023;Dušan Brković;KA Akureyri;;;;;;;;;44.8;;3.8;;3.3;;1;;;;;;88;;86012;https://www.sofascore.com/football/player/dusan-brkovic/86012
2023;Edon Osmani;Keflavík IF;;;;;;373;;;;;;;;;1;;;;;;;;1028877;https://www.sofascore.com/football/player/edon-osmani/1028877
2023;Eggert Aron Guðmundsson;Stjarnan Garðabær;7.47;10;2;12;;215;1.9;1.2;;0.9;;3.6;;;;;;;;;;56;1025990;https://www.sofascore.com/football/player/eggert-aron-gudmundsson/1025990
2023;Eggert Gunnthor Jonsson;FH Hafnarfjörður;;;;;;;;;;;2.4;;2.2;;;;;;;;;;19398;https://www.sofascore.com/football/player/eggert-gunnthor-jonsson/19398
2023;Eiður Aron Sigurbjörnsson;ÍBV Vestmannaeyjar;7.2;;;;3;;;;;;4;;4.5;;1;;;;;3;;;64424;https://www.sofascore.com/football/player/eidur-aron-sigurbjornsson/64424
2023;Elfar Árni Aðalsteinsson;KA Akureyri;;;;;;252;;;;;;;;;;;;;;;;;154130;https://www.sofascore.com/football/player/elfar-arni-adalsteinsson/154130
2023;Elfar Freyr Helgason;Valur Reykjavík;;;;;;;;;41;;2.3;;2.8;;;;;;;;89;;64362;https://www.sofascore.com/football/player/elfar-freyr-helgason/64362
2023;Elís Rafn Björnsson;Fylkir Reykjavík;;;;;;;;;;;3.2;;2.1;;;;;;;;;;163519;https://www.sofascore.com/football/player/elis-rafn-bjornsson/163519
2023;Elmar Bjarnason;KR Reykjavík;;;;;;;1.3;;33;1.3;;2.1;;9;;;;;;;82;77;22106;https://www.sofascore.com/football/player/elmar-bjarnason/22106
2023;Elvis Bwomono;ÍBV Vestmannaeyjar;;;;;;;;;;;4.3;1.6;;6;1;;;;;;;64;892082;https://www.sofascore.com/football/player/elvis-bwomono/892082
2023;Emil Atlason;Stjarnan Garðabær;7.55;17;4;21;2;102;3;1.4;;0.8;;;;;;;;;;3;;;234572;https://www.sofascore.com/football/player/emil-atlason/234572
2023;Emil Ásmundsson;Fylkir Reykjavík;;;;;;;1.7;;;;;;;5;;;;;;;;;818072;https://www.sofascore.com/football/player/emil-asmundsson/818072
2023;Erlingur Agnarsson;Víkingur Reykjavík;;6;9;15;;354;1.2;0.7;;1;;;;;;;;;;;;;858263;https://www.sofascore.com/football/player/erlingur-agnarsson/858263
2023;Ernir Bjarnason;Keflavík IF;;;;;;;;;;;;;;5;;;;;;;;;373920;https://www.sofascore.com/football/player/ernir-bjarnason/373920
2023;Eyþór Aron Wöhler;Breidablik Kópavogur;;;;;;;2;0.7;;;;1.3;;5;;;;;;;;61;999128;https://www.sofascore.com/football/player/eythor-aron-wohler/999128
2023;Felix Örn Friðriksson;ÍBV Vestmannaeyjar;7.28;;;;1;;;;;1.1;4;2;2.3;;;;;;;2;;64;845710;https://www.sofascore.com/football/player/felix-orn-fridriksson/845710
2023;Finnur Orri Margeirsson;FH Hafnarfjörður;;;;;;;;;;;2.5;;;;1;;;;;;;;64368;https://www.sofascore.com/football/player/finnur-orri-margeirsson/64368
2023;Finnur Tómas Pálmason;KR Reykjavík;;;;;;;;;34.8;;3.8;;2.4;5;;;;;;;79;;945079;https://www.sofascore.com/football/player/finnur-tomas-palmason/945079
2023;Frans Elvarsson;Keflavík IF;;;;;;;;;;;;;;7;;;;;;;;;116451;https://www.sofascore.com/football/player/frans-elvarsson/116451
2023;Fred Saraiva;Fram Reykjavík;7.62;8;8;16;3;281;2.4;1;;2;;2.6;;5;;;;;;4;;59;1033046;https://www.sofascore.com/football/player/fred-saraiva/1033046
2023;Frederik Schram;Valur Reykjavík;7.39;;;;;;;;;;;;;;;3.4;1.1;1.1;6;;;;286931;https://www.sofascore.com/football/player/frederik-schram/286931
2023;Frosti Brynjolfsson;Fylkir Reykjavík;;;;;;;;;;;;1.6;;;;;;;;;;72;884761;https://www.sofascore.com/football/player/frosti-brynjolfsson/884761
2023;Gísli Eyjólfsson;Breidablik Kópavogur;7.65;7;4;11;;309;2.4;0.9;;1.1;;2.7;;6;;;;;;;;46;842537;https://www.sofascore.com/football/player/gisli-eyjolfsson/842537
2023;Gudmundur Baldvin Nokkvason;Stjarnan Garðabær;;;;;0;350;;0.5;34;;2.5;;;;;;;;;1;76;;1142129;https://www.sofascore.com/football/player/gudmundur-baldvin-nokkvason/1142129
2023;Gudmundur Magnusson;Fram Reykjavík;;7;;8;2;302;1.2;0.6;;;;;;;;;;;;4;;;64548;https://www.sofascore.com/football/player/gudmundur-magnusson/64548
2023;Guðmundur Kristjánsson;Stjarnan Garðabær;7.29;;2;;;;;;33.4;;2.9;;3.3;6;1;;;;;;79;;64376;https://www.sofascore.com/football/player/gudmundur-kristjansson/64376
2023;Gunnar Vatnhamar;Víkingur Reykjavík;;;;;;;;;;;;;3.8;;;;;;;;;;238848;https://www.sofascore.com/football/player/gunnar-vatnhamar/238848
2023;Gunnlaugur Fannar Guðmundsson;Keflavík IF;;;;;;;;;;;;;3.7;10;;;;;;;;;879493;https://www.sofascore.com/football/player/gunnlaugur-fannar-gudmundsson/879493
2023;Guy Smit;ÍBV Vestmannaeyjar;7.16;;;;;;;;;;;;;;;3.9;1.8;1.8;4;;;;826974;https://www.sofascore.com/football/player/guy-smit/826974
2023;Gyrðir Hrafn Guðbrandsson;FH Hafnarfjörður;;6;;7;;122;;0.6;;;;;;;;;;;;;;;904604;https://www.sofascore.com/football/player/gyrdir-hrafn-gudbrandsson/904604
2023;Halldór Jón Sigurður Þórðarson;ÍBV Vestmannaeyjar;;;;;;;;;;;;;;;1;;;;;;;;932347;https://www.sofascore.com/football/player/halldor-jon-sigurdur-thordarson/932347
2023;Halldór Smári Sigurðsson;Víkingur Reykjavík;;;;;;;;;40.8;;2.6;;3.1;6;;;;;;;90;;795774;https://www.sofascore.com/football/player/halldor-smari-sigurdsson/795774
2023;Hallgrimur Mar Steingrimsson;KA Akureyri;7.97;7;10;17;3;339;2.7;0.7;;2.6;;2.7;;;;;;;;3;;64;814408;https://www.sofascore.com/football/player/hallgrimur-mar-steingrimsson/814408
2023;Haraldur Einar Ásgrímsson;FH Hafnarfjörður;;;5;;;;;;;1.3;;;;;;;;;;;;;1046426;https://www.sofascore.com/football/player/haraldur-einar-asgrimsson/1046426
2023;Harley Willard;KA Akureyri;;5;3;8;;236;1.3;0.5;;;;;;;;;;;;;;;598908;https://www.sofascore.com/football/player/harley-willard/598908
2023;Hassan Jalloh;HK Kópavogur;;;3;;;;;;;;;1.5;;;;;;;;;;59;971345;https://www.sofascore.com/football/player/hassan-jalloh/971345
2023;Heidar Aegisson;Stjarnan Garðabær;;;;;;;;;32.9;;;;;;;;;;;;82;;555650;https://www.sofascore.com/football/player/heidar-aegisson/555650
2023;Helgi Fróði Ingason;Stjarnan Garðabær;;;3;;;;;;;;;;;;;;;;;;;;1391064;https://www.sofascore.com/football/player/helgi-frodi-ingason/1391064
2023;Helgi Guðjónsson;Víkingur Reykjavík;;5;6;11;1;238;1.2;0.5;;;;;;;;;;;;1;;;862344;https://www.sofascore.com/football/player/helgi-gudjonsson/862344
2023;Hermann Thor Ragnarsson;ÍBV Vestmannaeyjar;;;;;;279;;;;;;1.5;;;1;;;;;;;51;1485611;https://www.sofascore.com/football/player/ragnarsson-hermann-thor/1485611
2023;Hilmar Árni Halldórsson;Stjarnan Garðabær;7.31;5;5;10;1;;2;0.8;;1.2;;;;;;;;;;1;;;794816;https://www.sofascore.com/football/player/hilmar-arni-halldorsson/794816
2023;Hlynur Atli Magnússon;Fram Reykjavík;;;;;;;;;;;2.4;;2.4;;;;;;;;;;64540;https://www.sofascore.com/football/player/hlynur-atli-magnusson/64540
2023;Hlynur Freyr Karlsson;Valur Reykjavík;;;;;;;;;39.8;;4;;2.7;;;;;;;;87;;1046547;https://www.sofascore.com/football/player/hlynur-freyr-karlsson/1046547
2023;Hólmar Örn Eyjólfsson;Valur Reykjavík;;;;;;;;;48.4;;3.5;;4;;;;;;;;91;;87501;https://www.sofascore.com/football/player/holmar-orn-eyjolfsson/87501
2023;Hrannar Björn Steingrímsson;KA Akureyri;;;;;;;;;;;2.5;;;;;;;;;;;;879175;https://www.sofascore.com/football/player/hrannar-bjorn-steingrimsson/879175
2023;Höskuldur Gunnlaugsson;Breidablik Kópavogur;7.51;5;8;13;2;;1.5;0.6;33.9;1.8;2.3;1.6;;;;;;;;3;78;56;156416;https://www.sofascore.com/football/player/hoskuldur-gunnlaugsson/156416
2023;Ingimar Torbjornsson Stole;KA Akureyri;;;;;;;;;;;;1.6;;;;;;;;;;39;1381598;https://www.sofascore.com/football/player/ingimar-torbjornsson-stole/1381598
2023;Ingvar Jónsson;Víkingur Reykjavík;7.36;;;;;;;;;;;;;;;2.6;1;1;10;;;;116610;https://www.sofascore.com/football/player/ingvar-jonsson/116610
2023;Ivar Arnbro Thorhallsson;KA Akureyri;;;;;;;;;;;;;;;;;;;1;;;;1119469;https://www.sofascore.com/football/player/ivar-arnbro-thorhallsson/1119469
2023;Ísak Andri Sigurgeirsson;Stjarnan Garðabær;;6;7;13;;;;;;;;;;;;;;;;;;;957137;https://www.sofascore.com/football/player/isak-andri-sigurgeirsson/957137
2023;Ívar Örn Árnason;KA Akureyri;7.16;;;;;;;;44.1;;5.5;;3;6;;;;;;;84;;865023;https://www.sofascore.com/football/player/ivar-orn-arnason/865023
2023;Ívar Örn Jónsson;HK Kópavogur;;;3;;;;;;;;5.2;;2.4;;;;;;;;;;794817;https://www.sofascore.com/football/player/ivar-orn-jonsson/794817
2023;Jakob Franz Pálsson;KR Reykjavík;;;;;;;;;31.5;;3.6;;2.6;;1;;;;;;82;;1028993;https://www.sofascore.com/football/player/jakob-franz-palsson/1028993
2023;Jakob Snær Árnason;KA Akureyri;;;;;;269;;;;;;;;5;;;;;;;;;862644;https://www.sofascore.com/football/player/jakob-snaer-arnason/862644
2023;Jannik Holmsgaard Pohl;Fram Reykjavík;;;;;1;;;;;;;;;;;;;;;1;;;280703;https://www.sofascore.com/football/player/jannik-holmsgaard-pohl/280703
2023;Jason Daði Svanþórsson;Breidablik Kópavogur;;4;4;8;;350;1.4;;;1;;2.7;;;;;;;;;;45;1029013;https://www.sofascore.com/football/player/jason-dadi-svanthorsson/1029013
2023;Joey Gibbs;Stjarnan Garðabær;;;;;;194;;;;;;;;;;;;;;;;;277459;https://www.sofascore.com/football/player/joey-gibbs/277459
2023;Johannes Bjarnason;KR Reykjavík;7.18;;3;;;;;;;1.7;2.2;;;;;;;;;;;;1640250;https://www.sofascore.com/football/player/johannes-bjarnason/1640250
2023;Jon Ingason;ÍBV Vestmannaeyjar;;;;;;;1.2;;;1;5.2;;3.5;5;;;;;;;;;172269;https://www.sofascore.com/football/player/jon-ingason/172269
2023;Jóhann Árni Gunnarsson;Stjarnan Garðabær;7.38;;4;;0;;;;43.9;1.4;3.1;;;6;;;;;;1;81;;933118;https://www.sofascore.com/football/player/johann-arni-gunnarsson/933118
2023;Jóhann Ægir Arnarsson;FH Hafnarfjörður;;;;;;;;;;;;;;;1;;;;;;;;1126744;https://www.sofascore.com/football/player/johann-aegir-arnarsson/1126744
2023;Karl Friðleifur Gunnarsson;Víkingur Reykjavík;;;;;;;;;;;;;;;1;;;;;;;;907515;https://www.sofascore.com/football/player/karl-fridleifur-gunnarsson/907515
2023;Kennie Knak Chopart;KR Reykjavík;7.28;;;;;;;;;1;2.5;1.7;2.5;5;;;;;;;;62;66470;https://www.sofascore.com/football/player/kennie-knak-chopart/66470
2023;Kjartan Finnbogason;FH Hafnarfjörður;;11;3;14;2;153;2.2;1.2;;;;;;5;;;;;;2;;;30404;https://www.sofascore.com/football/player/kjartan-finnbogason/30404
