season,pos,team,p,w,d,l,gf,ga,pts
1980,3,ÍA,18,8,4,6,29,20,28
1980,4,Víkingur R.,18,7,6,5,24,23,27
1980,5,Breiðablik,18,8,1,9,25,22,25
1980,6,ÍBV,18,5,7,6,26,28,22
1980,7,KR,18,6,4,8,16,25,22
1980,8,FH,18,5,5,8,24,34,20
1980,9,Keflavík,18,3,7,8,16,26,16
1980,10,Þróttur R.,18,2,5,11,13,26,11
1982,1,ÍBV,18,9,4,5,23,16,31
1982,2,Víkingur R.,18,7,9,2,25,17,30
1982,3,KR,18,5,11,2,14,12,26
1982,4,ÍA,18,6,6,6,22,20,24
1982,5,ÍBÍ Fullorðnir Karlar,18,6,5,7,30,29,23
1982,6,Valur,18,6,5,7,18,21,23
1982,7,Breiðablik,18,6,5,7,18,22,23
1982,8,Keflavík,18,5,6,7,14,19,21
1982,9,Fram,18,4,7,7,17,23,19
1982,10,KA,18,4,6,8,20,22,18
1983,1,ÍA,18,10,4,4,29,11,34
1983,2,Breiðablik,18,6,7,5,24,18,25
1983,3,KR,18,5,10,3,18,19,25
1983,4,Valur,18,7,4,7,29,31,25
1983,5,Keflavík,18,8,1,9,24,27,25
1983,6,Þróttur R.,18,6,6,6,24,31,24
1983,7,Þór,18,5,8,5,21,19,23
1983,8,Víkingur R.,18,4,9,5,20,20,21
1983,9,ÍBV,18,5,6,7,25,26,21
1983,10,ÍBÍ Fullorðnir Karlar,18,2,9,7,16,28,15
1984,1,ÍA,18,12,2,4,33,18,38
1984,2,Valur,18,7,7,4,24,16,28
1984,3,Keflavík,18,8,3,7,19,22,27
1984,4,KR,18,6,7,5,20,23,25
1984,5,Víkingur R.,18,6,6,6,29,28,24
1984,6,Fram,18,6,4,8,23,22,22
1984,7,Þróttur R.,18,5,7,6,19,19,22
1984,8,Þór,18,6,4,8,25,25,22
1984,9,Breiðablik,18,4,8,6,17,20,20
1984,10,KA,18,4,4,10,23,39,16
1957,1,ÍA,5,5,0,0,14,2,15
1957,2,Fram,5,3,1,1,7,3,10
1957,3,Valur,5,2,2,1,11,7,8
1957,4,ÍBH Fullorðnir Karlar,5,1,1,3,5,9,4
1957,5,KR,5,0,2,3,3,10,2
1957,6,ÍBA Fullorðnir Karlar,5,0,2,3,6,15,2
